SessionId,FirstName,LastName,Biography,PhotoUrl,AvatarUrl,PositionName,CompanyName,CompanyWebsiteUrl,BlogUrl,TwitterUrl,LinkedInUrl,FullName,Title,AvatarUri,PhotoUri,Email,RemoteId,Id
0,Anya,Smith,"Hi my name is Anya, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/3.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,Director of Marketing,Microsoft,microsoft.com,motzcod.es,AnyaSmith,anyasmith,Anya Smith,"Director of Marketing, Microsoft",https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.jpg,,,0
1,Arwa,Johnson,"Hi my name is Arwa, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/10.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,Engineer,Amazon,amazon.com,motzcod.es,ArwaJohnson,arwajohnson,Arwa Johnson,"Engineer, Amazon",https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.jpg,,,1
1,Breck,Williams,"Hi my name is Breck, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/6.jpg,https://xamarin.github.io/app-employee-directory/images/men/6.thumb.jpg,Head of Marketing,IBM,ibm.com,motzcod.es,BreckWilliams,breckwilliams,Breck Williams,"Head of Marketing, IBM",https://xamarin.github.io/app-employee-directory/images/men/6.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/6.jpg,,,2
2,Anya,Smith,"Hi my name is Anya, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/3.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,Director of Marketing,Microsoft,microsoft.com,motzcod.es,AnyaSmith,anyasmith,Anya Smith,"Director of Marketing, Microsoft",https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.jpg,,,0
2,Laura,Brown,"Hi my name is Laura, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/5.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,Junior Researcher,Couchbase,couchbase.com,motzcod.es,LauraBrown,laurabrown,Laura Brown,"Junior Researcher, Couchbase",https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.jpg,,,3
3,Claudia,Jones,"Hi my name is Claudia, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/4.jpg,https://xamarin.github.io/app-employee-directory/images/women/4.thumb.jpg,Researcher,IBM,ibm.com,motzcod.es,ClaudiaJones,claudiajones,Claudia Jones,"Researcher, IBM",https://xamarin.github.io/app-employee-directory/images/women/4.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/4.jpg,,,4
3,Tammy,Miller,"Hi my name is Tammy, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/5.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,Marketing Coordinator,Amazon,amazon.com,motzcod.es,TammyMiller,tammymiller,Tammy Miller,"Marketing Coordinator, Amazon",https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.jpg,,,5
3,Arwa,Davis,"Hi my name is Arwa, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,Junior Engineer,Nintendo,nintendo.com,motzcod.es,ArwaDavis,arwadavis,Arwa Davis,"Junior Engineer, Nintendo",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,6
4,Brianne,Garcia,"Hi my name is Brianne, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/6.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,Designer,Couchbase,couchbase.com,motzcod.es,BrianneGarcia,briannegarcia,Brianne Garcia,"Designer, Couchbase",https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.jpg,,,7
5,Tammy,Rodriguez,"Hi my name is Tammy, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,SVP of Engineering,Xamarin,xamarin.com,motzcod.es,TammyRodriguez,tammyrodriguez,Tammy Rodriguez,"SVP of Engineering, Xamarin",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,8
